date,date[MJD],m_bol,m_bol_err,M_bol,M_bol_err,L_cgs,L_cgs_err,L_SI,L_SI_err
2020-10-12 14:44:00.000000,59134.61388888889,19.713819337659114,0.09650283758836853,-18.507996830421572,0.09650283758836853,7.623756819430688e+42,6.776177886806606e+41,7.623756819430688e+35,6.776177886806605e+34
2020-10-12 20:58:40.000000,59134.87407407407,19.428357842217547,0.06045574156460948,-18.79345832586314,0.06045574156460948,9.916390783024704e+42,5.521624459099333e+41,9.916390783024704e+35,5.521624459099333e+34
2020-10-13 12:06:00.000000,59135.50416666666,19.175057858012035,0.04926728050762423,-19.04675831006865,0.04926728050762423,1.2521997902429017e+43,5.682087236947998e+41,1.2521997902429016e+36,5.682087236947997e+34
2020-10-13 21:25:45.000000,59135.892881944426,18.92422311088216,0.05309883209439256,-19.297593057198526,0.05309883209439256,1.577638607137434e+43,7.715572819521447e+41,1.577638607137434e+36,7.715572819521447e+34
2020-10-15 11:19:00.000000,59137.47152777777,18.744040436272297,0.044418705765017816,-19.47777573180839,0.044418705765017816,1.862432730683815e+43,7.619424599533566e+41,1.862432730683815e+36,7.619424599533566e+34
2020-10-15 12:20:00.000000,59137.513888888876,18.82072729086328,0.047837752113119913,-19.401088877217404,0.047837752113119913,1.7354250163261736e+43,7.646316976268905e+41,1.7354250163261735e+36,7.646316976268904e+34
2020-10-15 13:44:00.000000,59137.57222222224,18.846409621415226,0.049881602271320456,-19.37540654666546,0.049881602271320456,1.6948564534038354e+43,7.786620280798727e+41,1.6948564534038355e+36,7.786620280798726e+34
2020-10-15 19:36:00.000000,59137.81666666666,18.691079517111454,0.04671506480012935,-19.53073665096923,0.04671506480012935,1.9555321620613438e+43,8.413904894125133e+41,1.955532162061344e+36,8.413904894125134e+34
2020-10-15 20:37:00.000000,59137.85902777778,18.77160504040832,0.04968593116137947,-19.450211127672365,0.04968593116137947,1.8157445686102804e+43,8.309289056333603e+41,1.8157445686102804e+36,8.309289056333604e+34
2020-10-15 21:51:00.000000,59137.91041666666,18.57219016557411,0.07443195060739334,-19.649626002506576,0.07443195060739334,2.181828968602821e+43,1.4957388849439963e+42,2.181828968602821e+36,1.4957388849439965e+35
2020-10-17 19:34:00.000000,59139.81527777777,18.74381657534543,0.0588581845139858,-19.477999592735255,0.0588581845139858,1.8628167732349192e+43,1.0098402620665447e+42,1.8628167732349192e+36,1.0098402620665448e+35
2020-10-17 20:42:00.000000,59139.8625,18.617431254190425,0.06043767789088971,-19.60438491389026,0.06043767789088971,2.0927833344806374e+43,1.1649511595032387e+42,2.0927833344806374e+36,1.1649511595032387e+35
2020-10-17 21:40:00.000000,59139.902777777774,18.735474953522093,0.05122972158637832,-19.486341214558593,0.05122972158637832,1.8771837605735466e+43,8.857363418407587e+41,1.8771837605735465e+36,8.857363418407585e+34
2020-10-21 20:24:30.050166,59143.85034780285,18.669744586585097,0.036114751684342604,-19.55207158149559,0.036114751684342604,1.9943387848715006e+43,6.633752257173086e+41,1.9943387848715007e+36,6.633752257173086e+34
2020-10-22 11:49:31.506566,59144.49272577044,18.841436228917907,0.044231688955205885,-19.38037993916278,0.044231688955205885,1.7026378292831739e+43,6.936357702559738e+41,1.7026378292831738e+36,6.936357702559738e+34
2020-10-27 10:29:26.155347,59149.437108279475,19.081753127949,0.07299992985983482,-19.140063040131686,0.07299992985983482,1.3645690561880875e+43,9.174737376729771e+41,1.3645690561880875e+36,9.174737376729771e+34
2020-10-29 11:34:14.689549,59151.48211446237,19.17361250281848,0.0568760057903704,-19.048203665262207,0.0568760057903704,1.2538678553475595e+43,6.5683538127011275e+41,1.2538678553475594e+36,6.568353812701127e+34
2020-10-30 10:53:05.834188,59152.45353974755,19.260134853585,0.08306258548709576,-18.961681314495685,0.08306258548709576,1.1578247487607712e+43,8.857760913889856e+41,1.1578247487607711e+36,8.857760913889855e+34
2020-11-01 18:14:21.368039,59154.75996953749,19.256980400061433,0.046466085115569294,-18.964835768019253,0.046466085115569294,1.161193536788789e+43,4.969542093154817e+41,1.161193536788789e+36,4.969542093154816e+34
2020-11-02 16:54:25.905304,59155.70446649657,19.394550435455802,0.033641053427385166,-18.827265732624884,0.033641053427385166,1.0230022660608255e+43,3.1697270237529714e+41,1.0230022660608254e+36,3.169727023752971e+34
2020-11-03 12:50:01.467561,59156.53473920789,19.393219813863315,0.04615606876798782,-18.82859635421737,0.04615606876798782,1.0242567727861245e+43,4.354249755475851e+41,1.0242567727861245e+36,4.354249755475851e+34
2020-11-04 10:26:43.880097,59157.43523009372,19.5399367436183,0.04301401239522087,-18.681879424462387,0.04301401239522087,8.947919585457167e+42,3.544930364056853e+41,8.947919585457167e+35,3.544930364056853e+34
2020-11-05 10:47:48.324031,59158.449864861475,19.264941801535834,0.05967395661932717,-18.956874366544852,0.05967395661932717,1.1527099695268633e+43,6.335495161233541e+41,1.1527099695268633e+36,6.335495161233542e+34
2020-11-06 14:09:11.537705,59159.58971687159,19.502752205495025,0.04099043218930962,-18.71906396258566,0.04099043218930962,9.25967806618637e+42,3.495860267010296e+41,9.25967806618637e+35,3.495860267010296e+34
2020-11-08 10:48:23.958653,59161.45027729923,19.51363830895556,0.053550918748257265,-18.708177859125126,0.053550918748257265,9.167300051673327e+42,4.521515797821398e+41,9.167300051673328e+35,4.5215157978213975e+34
2020-11-09 15:51:08.455642,59162.6605145329,19.664439627517964,0.037547404219897725,-18.55737654056272,0.037547404219897725,7.978493928722373e+42,2.7591576599812724e+41,7.978493928722374e+35,2.7591576599812726e+34
2020-11-10 15:41:49.506716,59163.65404521662,19.67986825203852,0.03743572330653348,-18.541947916042165,0.03743572330653348,7.865918985125158e+42,2.712135465210471e+41,7.865918985125158e+35,2.712135465210471e+34
2020-11-12 19:25:54.041122,59165.80965325373,19.791569789728197,0.03726858800380098,-18.43024637835249,0.03726858800380098,7.096902749200422e+42,2.4360571518559064e+41,7.096902749200422e+35,2.436057151855907e+34
2020-11-13 19:03:08.389384,59166.793847099354,19.783765023052432,0.05118101488174727,-18.438051145028254,0.05118101488174727,7.148102323114264e+42,3.369576604080026e+41,7.148102323114264e+35,3.369576604080026e+34
2020-11-15 19:16:38.380729,59168.80322199918,20.00161057435936,0.06601165533745346,-18.220205593721325,0.06601165533745346,5.848608352710145e+42,3.555894305549663e+41,5.8486083527101456e+35,3.5558943055496632e+34
2020-11-18 11:22:00.000000,59171.47361111111,20.283838758052003,0.09054607882510447,-17.937977410028683,0.09054607882510447,4.5098413751133616e+42,3.761028239181728e+41,4.509841375113362e+35,3.761028239181728e+34
2020-11-19 13:49:41.160293,59172.57617083673,20.0936336061642,0.050791704250940116,-18.128182561916486,0.050791704250940116,5.3733276999844637e+42,2.5136904358991502e+41,5.373327699984464e+35,2.5136904358991504e+34
2020-11-24 19:04:00.000000,59177.794444444444,20.435832551832885,0.13544565607399942,-17.7859836162478,0.13544565607399942,3.9207012321855326e+42,4.891077117409087e+41,3.920701232185533e+35,4.891077117409087e+34
2020-11-25 19:25:22.539597,59178.809288652745,20.1862169984424,0.1317040783911917,-18.035599169638285,0.1317040783911917,4.934122988120171e+42,5.985285541472078e+41,4.934122988120171e+35,5.985285541472078e+34
2020-11-30 10:32:00.000000,59183.438888888886,20.00659401047707,0.22438113591013256,-18.215222157603616,0.22438113591013256,5.821825254757873e+42,1.2031539134534764e+42,5.821825254757873e+35,1.2031539134534765e+35
2020-12-01 10:45:00.000000,59184.44791666666,20.487388658008648,0.3219117213343466,-17.734427510072038,0.3219117213343466,3.738878106689432e+42,1.1085461476821825e+42,3.7388781066894314e+35,1.1085461476821824e+35
2020-12-02 10:33:00.000000,59185.43958333332,20.13312004733641,0.2903446607101109,-18.088696120744277,0.2903446607101109,5.181419449287715e+42,1.3856012771862455e+42,5.181419449287715e+35,1.3856012771862455e+35
2020-12-04 10:36:00.000000,59187.44166666666,20.613044843791645,0.07886310368692319,-17.60877132428904,0.07886310368692319,3.330265301243704e+42,2.4189582755550842e+41,3.330265301243704e+35,2.418958275555085e+34
2020-12-07 10:39:00.000000,59190.44375,20.80228072432764,0.17527805163211724,-17.419535443753045,0.17527805163211724,2.7975926620790404e+42,4.516351107392238e+41,2.7975926620790407e+35,4.516351107392238e+34
2020-12-08 10:39:00.000000,59191.44375,20.74211276641213,0.19278387802882452,-17.479703401668555,0.19278387802882452,2.95700230689801e+42,5.250468479965372e+41,2.9570023068980104e+35,5.2504684799653715e+34
2020-12-09 10:40:00.000000,59192.444444444445,20.86775591363501,0.08576721385774089,-17.354060254445677,0.08576721385774089,2.633870417141625e+42,2.080613378743199e+41,2.633870417141625e+35,2.080613378743199e+34
2020-12-10 01:16:00.000000,59193.052777777775,20.84084872475268,0.09855132159760817,-17.380967443328007,0.09855132159760817,2.6999596884393855e+42,2.450729692810085e+41,2.6999596884393856e+35,2.450729692810085e+34
